x,y,cat_id
-4.2,1.0,1
-4.200223175995221,1.0377920338524584,1
-4.200892648639191,1.0755746962885098,1
-4.2020082519205495,1.113338618215608,1
-4.203569709199438,1.1510744351883537,1
-4.205576633276099,1.1887727897306266,1
-4.20802852648689,1.2264243336559895,1
-4.210924780827691,1.2640197303857903,1
-4.2142646781046755,1.3015496572643834,1
-4.2180473901124,1.3390048078709003,1
-4.222271978839178,1.3763758943269935,1
-4.226937396699683,1.4136536495999823,1
-4.232042486794724,1.4508288298008307,1
-4.237585983198119,1.4878922164763846,1
-4.243566511270616,1.524834618895302,1
-4.249982588000765,1.5616468763271099,1
-4.2568326223726665,1.5983198603138207,1
-4.264114915760501,1.634844476933547,1
-4.271827662349741,1.6712116690555505,1
-4.279968949584946,1.7074124185861703,1
-4.288536758644027,1.7434377487050678,1
-4.2975289649388575,1.7792787260912404,1
-4.306943338642116,1.8149264631382462,1
-4.316777545240223,1.8503721201580934,1
-4.327029146112242,1.885606907573246,1
-4.337695599134586,1.920622088096207,1
-4.3487742593114,1.9554089788961309,1
-4.360262379430451,1.989958953751934,1
-4.372157110744361,2.0242634451913686,1
-4.384455503677018,2.0583139466155265,1
-4.397154508555,2.0921020144082476,1
-4.410250976363803,2.1256192700299152,1
-4.423741659528719,2.1588574020951055,1
-4.437623212720147,2.1918081684335933,1
-4.451892193683143,2.2244633981341893,1
-4.466545064091012,2.2568149935709068,1
-4.481578190422711,2.288854932410958,1
-4.496987844863876,2.3205752696040802,1
-4.51277020623121,2.3519681393526923,1
-4.528921360920039,2.383025757062408,1
-4.545437303874786,2.413740421272402,1
-4.562313939582111,2.4441045155651713,1
-4.579547083086491,2.474110510455202,1
-4.597132461027979,2.5037509652560814,1
-4.615065712701882,2.5330185299255867,1
-4.633342391140101,2.561905946888305,1
-4.651957964213857,2.5904060528353128,1
-4.670907815757542,2.61851178050049,1
-4.690187246713404,2.6462161604130117,1
-4.709791476296788,2.673512322625589,1
-4.729715643181637,2.700393498418036,1
-4.7499548067059845,2.7268530219757317,1
-4.770503948097092,2.752884332042559,1
-4.791357971715982,2.77848097354793,1
-4.812511706321015,2.803636599207463,1
-4.833959906350221,2.828344971096946,1
-4.855697253222058,2.8525999621991702,1
-4.877718356654279,2.8763955579232716,1
-4.900017756000582,2.899725857596186,1
-4.922589921604696,2.92258507592586,1
-4.945429256171596,2.9449675444358476,1
-4.968530096155479,2.9668677128709433,1
-4.991886713164174,2.9882801505734964,1
-5.015493315379632,3.0091995478300686,1
-5.039344048994136,3.0296207171881013,1
-5.063432999661897,3.0495385947422675,1
-5.087754193965648,3.0689482413901827,1
-5.112301600897898,3.0878448440571717,1
-5.137069133356454,3.106223716889782,1
-5.1620506496538665,3.124080302417754,1
-5.187239955040399,3.1414101726841452,1
-5.212630803240165,3.1582090303433525,1
-5.238216898000035,3.1744727097267345,1
-5.26399189465094,3.1901971778755898,1
-5.289949401681181,3.205378535541219,1
-5.316082982321352,3.220013018151838,1
-5.342386156140489,3.23409699674609,1
-5.368852400653042,3.2476269788729315,1
-5.39547515293628,3.2605996094576657,1
-5.422247811257716,3.273011671633914,1
-5.449163736712168,3.2848600875413108,1
-5.476216254868024,3.2961419190887318,1
-5.503398657422324,3.306854368682861,1
-5.5307042038642455,3.3169947799219224,1
-5.558126123146561,3.3265606382543935,1
-5.5856576153646875,3.3355495716025474,1
-5.613291853442873,3.3439593509506667,1
-5.641021984827134,3.3517878908977785,1
-5.668841133184505,3.359033250174779,1
-5.696742400108184,3.365693632125815,1
-5.724718866828157,3.3717673851538086,1
-5.752763595926865,3.377253003130008,1
-5.7808696330595,3.3821491257674663,1
-5.809030008678495,3.38645453895836,1
-5.837237739761792,3.3901681750750505,1
-5.8654858315444365,3.393289113234832,1
-5.893767279253099,3.395816579528282,1
-5.92207506984307,3.3977499472111723,1
-5.9504021837373084,3.3990887368598837,1
-5.978741596567108,3.3998326164902917,1
-6.007086280913955,3.3999814016400887,1
-6.0354292080521414,3.3995350554145274,1
-6.063763349691697,3.3984936884955648,1
-6.092081679721224,3.3968575591144217,1
-6.12037717595018,3.3946270729875465,1
-6.148642821850198,3.3918027832160074,1
-6.176871608294995,3.388385390148338,1
-6.20505653529845,3.3843757412068705,1
-6.2331906137504145,3.3797748306775968,1
-6.261266867149823,3.3745837994636134,1
-6.289278333334682,3.3688039348022065,1
-6.317218066208499,3.3624366699456503,1
-6.345079137462729,3.3554835838058032,1
-6.372854638294811,3.347946400562574,1
-6.4005376811213655,3.339826989236377,1
-6.428121401286134,3.3311273632246587,1
-6.455598958762227,3.3218496798026353,1
-6.482963539848273,3.31199623958834,1
-6.510208358858027,3.3015694859721365,1
